,Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı,Binanın Yaşı Num,Bulunduğu Kat Num,Salon Sayısı,Oda Sayısı Num,Toplam Oda Sayısı
374,3700000.0,Kızılay Mahallesi,2025-10-24,Daire,86.0,140.0,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1.0,,25.0,0,1.0,2.0,3.0
375,80000000.0,Kazımdirik Mahallesi,2025-11-24,Villa,290.0,350.0,4.0,Yerden Isıtma,Boş,Krediye Uygun,Müstakil Tapulu,Evet,,Var,4.0,,0.0,0,2.0,5.0,7.0
376,3850000.0,Kazımdirik Mahallesi,2025-11-03,Daire,110.0,130.0,5.0,Klimalı,Boş,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,1.0,,18.0,4,1.0,3.0,4.0
377,5000000.0,Evka 4 Mahallesi,,Daire,100.0,110.0,8.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Var,2.0,,18.0,8,1.0,2.0,3.0
378,5000000.0,Barbaros Mahallesi,2025-11-05,Residence,56.0,88.0,30.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1.0,,4.0,16,1.0,1.0,2.0
379,14000000.0,Yeşilova Mahallesi,2025-10-31,Daire,122.0,175.0,30.0,Yerden Isıtma,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2.0,,0.0,16,1.0,3.0,4.0
380,3650000.0,Çamkule Mahallesi,2025-11-07,Bina,95.0,96.0,3.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Arsa Tapulu,Hayır,,,1.0,,25.0,0,1.0,2.0,3.0
381,3950000.0,Doğanlar Mahallesi,,Daire,38.0,58.0,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,1.0,,0.0,0,1.0,1.0,2.0
382,4100000.0,İnönü Mahallesi,,Daire,70.0,80.0,5.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat Mülkiyeti,Evet,,Var,1.0,1.0,18.0,2,1.0,2.0,3.0
383,3500000.0,Barbaros Mahallesi,2025-10-24,Daire,40.0,50.0,14.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1.0,,0.0,2,1.0,1.0,2.0
