Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı
12.750.000TL,Evka 3 Mahallesi,20 Kasım 2025,Daire,180 m²,220 m²,4+1,16-20,2.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2,
5.450.000TL,Atatürk Mahallesi,28 Kasım 2025,Daire,80 m²,90 m²,2+1,21 Ve Üzeri,3.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
7.760.000TL,Erzene Mahallesi,08 Kasım 2025,Daire,65 m²,88 m²,2+2,0 (Yeni),2.Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
14.000.000TL,Kızılay Mahallesi,26 Kasım 2025,Daire,200 m²,210 m²,3+2,3,4.Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2,
3.600.000TL,İnönü Mahallesi,28 Kasım 2025,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,Villa Tipi,3.0,Klimalı,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,2,
4.900.000TL,Rafet Paşa Mahallesi,30 Ekim 2025,Daire,40 m²,60 m²,1+1,3,7.Kat,25.0,VRV,Boş,Krediye Uygun,Kat İrtifakı,Evet,Eşyalı,Yok,1,
,,,,,,,,,,,,,,,,,,
5.270.000TL,Yeşilova Mahallesi,26 Kasım 2025,Daire,175 m²,200 m²,4+1,21 Ve Üzeri,5.Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2,
10.800.000TL,Atatürk Mahallesi,06 Kasım 2025,Daire,150 m²,170 m²,4+1,5-10,3.Kat,3.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2,
3.500.000TL,Erzene Mahallesi,25 Kasım 2025,Daire,130 m²,145 m²,3+1,21 Ve Üzeri,3.Kat,30.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,3,2.0
6.500.000TL,Barbaros Mahallesi,12 Kasım 2025,Daire,59 m²,70 m²,2+1,0 (Yeni),2.Kat,20.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Var,1,
5.500.000TL,Doğanlar Mahallesi,12 Kasım 2025,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
4.500.000TL,Erzene Mahallesi,14 Kasım 2025,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,2.Kat,5.0,Doğalgaz Sobalı,Mülk Sahibi Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,1,
4.250.000TL,Erzene Mahallesi,26 Kasım 2025,Daire,70 m²,80 m²,2+1,21 Ve Üzeri,3.Kat,7.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
5.750.000TL,Kazımdirik Mahallesi,27 Kasım 2025,Daire,95 m²,105 m²,2+1,0 (Yeni),Bahçe Katı,7.0,Klimalı,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
2.500.000TL,Zafer Mahallesi,27 Kasım 2025,Daire,75 m²,85 m²,3+1,21 Ve Üzeri,Bahçe Katı,1.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,1.0
2.600.000TL,Meriç Mahallesi,22 Kasım 2025,Daire,85 m²,90 m²,2+1,21 Ve Üzeri,Yüksek Giriş,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
8.000.000TL,Erzene Mahallesi,25 Kasım 2025,Müstakil Ev,120 m²,150 m²,3+1,21 Ve Üzeri,,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Bilinmiyor,Kat İrtifakı,Hayır,,Yok,1,
2.750.000TL,Ergene Mahallesi,26 Kasım 2025,Daire,77 m²,89 m²,2+0,21 Ve Üzeri,Yüksek Giriş,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,
3.650.000TL,Kızılay Mahallesi,26 Kasım 2025,Daire,77 m²,85 m²,2+1,5-10,Yüksek Giriş,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
3.990.000TL,Kemalpaşa Mahallesi,26 Kasım 2025,Daire,35 m²,45 m²,1+1,0 (Yeni),3.Kat,4.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
10.750.000TL,Rafet Paşa Mahallesi,27 Kasım 2025,Daire,145 m²,183 m²,3+1,21 Ve Üzeri,5.Kat,16.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,2,
3.250.000TL,Ümit Mahallesi,04 Kasım 2025,Daire,55 m²,60 m²,2+1,0 (Yeni),Düz Giriş (Zemin),2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.250.000TL,Mevlana Mahallesi,11 Kasım 2025,Daire,40 m²,50 m²,1+1,0 (Yeni),5.Kat,6.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.500.000TL,Gürpınar Mahallesi,24 Kasım 2025,Daire,80 m²,90 m²,2+1,1,Yüksek Giriş,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Var,1,
4.299.000TL,Koşukavak Mahallesi,26 Kasım 2025,Daire,41 m²,58 m²,1+1,1,10.Kat,24.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Bilinmiyor,Kat İrtifakı,Hayır,,Var,1,
2.450.000TL,Atatürk Mahallesi,12 Kasım 2025,Daire,50 m²,60 m²,1+1,11-15,Düz Giriş (Zemin),4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
8.850.000TL,Erzene Mahallesi,27 Kasım 2025,Daire,135 m²,142 m²,3+1,21 Ve Üzeri,8.Kat,8.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
3.150.000TL,Erzene Mahallesi,28 Kasım 2025,Daire,45 m²,50 m²,1+1,2,Kot 2 (-2).Kat,3.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kooperatiften Tapu,Evet,Boş,Yok,1,1.0
4.750.000TL,Çınar Mahallesi,26 Kasım 2025,Müstakil Ev,50 m²,56 m²,1+1,21 Ve Üzeri,,3.0,Sobalı,Kiracı Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,1,
5.800.000TL,Atatürk Mahallesi,22 Kasım 2025,Daire,57 m²,67 m²,2+1,5-10,1.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1,
5.500.000TL,Atatürk Mahallesi,05 Kasım 2025,Daire,72 m²,90 m²,2+1,0 (Yeni),2.Kat,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1,
3.200.000TL,Birlik Mahallesi,26 Kasım 2025,Daire,85 m²,94 m²,3+1,21 Ve Üzeri,2.Kat,3.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
3.650.000TL,Ümit Mahallesi,03 Kasım 2025,Daire,65 m²,71 m²,2+1,0 (Yeni),1.Kat,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.500.000TL,Kemalpaşa Mahallesi,31 Ekim 2025,Daire,100 m²,105 m²,3+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
23.500.000TL,Atatürk Mahallesi,30 Ekim 2025,Villa,200 m²,240 m²,4+1,0 (Yeni),,3.0,Yerden Isıtma,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2,
17.850.000TL,Yakaköy Mahallesi,19 Kasım 2025,Villa,300 m²,400 m²,3+1,21 Ve Üzeri,,2.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Hisseli Tapu,Hayır,Boş,Yok,2,
11.750.000TL,Kazımdirik Mahallesi,13 Kasım 2025,Daire,170 m²,200 m²,3+1,11-15,7.Kat,7.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,,,2,
3.800.000TL,Çınar Mahallesi,03 Kasım 2025,Müstakil Ev,100 m²,110 m²,3+1,16-20,,2.0,Klimalı,Boş,Krediye Uygun,Müstakil Tapulu,Hayır,,,1,
4.950.000TL,İnönü Mahallesi,10 Kasım 2025,Daire,115 m²,180 m²,3+1,21 Ve Üzeri,Yüksek Giriş,5.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,2,
14.000.000TL,Ergene Mahallesi,19 Kasım 2025,Daire,187 m²,190 m²,3+1,21 Ve Üzeri,Villa Tipi,1.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,1,
23.500.000TL,Çiçekli Mahallesi,27 Kasım 2025,Villa,135 m²,150 m²,3+1,3,,1.0,Isı Pompası,Boş,Bilinmiyor,Hisseli Tapu,Hayır,,Var,2,
3.550.000TL,Kızılay Mahallesi,11 Kasım 2025,Daire,85 m²,100 m²,1+1,4,3.Kat,3.0,Klimalı,Boş,Bilinmiyor,Kat İrtifakı,Hayır,,Yok,1,
2.950.000TL,Doğanlar Mahallesi,27 Kasım 2025,Daire,95 m²,110 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
4.250.000TL,Atatürk Mahallesi,26 Kasım 2025,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,4.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,
12.000.000TL,Kazımdirik Mahallesi,26 Kasım 2025,Daire,85 m²,97 m²,3+1,1,4.Kat,13.0,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Eşyalı,Yok,2,
5.500.000TL,Atatürk Mahallesi,27 Kasım 2025,Daire,120 m²,130 m²,3+1,21 Ve Üzeri,3.Kat,3.0,Isıtma Yok,Boş,Bilinmiyor,Kat İrtifakı,Hayır,,Yok,1,
7.850.000TL,Yakaköy Mahallesi,09 Kasım 2025,Müstakil Ev,60 m²,75 m²,2+1,21 Ve Üzeri,,1.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,,Yok,1,
9.950.000TL,Erzene Mahallesi,13 Kasım 2025,Daire,85 m²,95 m²,1+1,0 (Yeni),2.Kat,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Var,2,
4.750.000TL,Zafer Mahallesi,14 Kasım 2025,Müstakil Ev,100 m²,128 m²,2+1,21 Ve Üzeri,,1.0,Kombi Doğalgaz,Boş,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,1,
4.150.000TL,Kazımdirik Mahallesi,16 Kasım 2025,Daire,35 m²,45 m²,Stüdyo,5-10,3.Kat,6.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Eşyalı,Yok,1,
