Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı
5.000.000TL,Erzene Mahallesi,26 Kasım 2025,Daire,73 m²,82 m²,2+1,0 (Yeni),5.Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1,
4.250.000TL,Mevlana Mahallesi,13 Kasım 2025,Daire,40 m²,50 m²,1+1,0 (Yeni),5.Kat,6.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat İrtifakı,Hayır,,Yok,1,
3.500.000TL,Mevlana Mahallesi,25 Kasım 2025,Daire,120 m²,135 m²,3+1,21 Ve Üzeri,1.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,2.0
4.550.000TL,Atatürk Mahallesi,31 Ekim 2025,Müstakil Ev,75 m²,85 m²,2+1,5-10,,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,,,1,
11.500.000TL,Kızılay Mahallesi,22 Kasım 2025,Villa,125 m²,170 m²,4+1,0 (Yeni),,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,2,
3.950.000TL,Gazi Osman Paşa Mahallesi,30 Ekim 2025,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2,
5.550.000TL,Erzene Mahallesi,08 Kasım 2025,Daire,110 m²,140 m²,3+1,21 Ve Üzeri,5.Kat,6.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2,
5.800.000TL,Rafet Paşa Mahallesi,14 Kasım 2025,Daire,110 m²,120 m²,2+1,16-20,2.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,,2,
3.250.000TL,Birlik Mahallesi,26 Kasım 2025,Daire,97 m²,107 m²,3+1,21 Ve Üzeri,3.Kat,3.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
3.750.000TL,Atatürk Mahallesi,05 Kasım 2025,Daire,42 m²,55 m²,1+1,0 (Yeni),2.Kat,2.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Var,1,
1.300.000TL,Kızılay Mahallesi,03 Kasım 2025,Daire,37 m²,55 m²,1+1,21 Ve Üzeri,Bahçe Katı,1.0,Isıtma Yok,Boş,Bilinmiyor,Hisseli Tapu,Hayır,,,1,
13.000.000TL,Egemenlik Mahallesi,11 Kasım 2025,Müstakil Ev,750 m²,800 m²,2+1,21 Ve Üzeri,,3.0,Sobalı,Kiracı Oturuyor,Bilinmiyor,Arsa Tapulu,Hayır,,Yok,1,
7.750.000TL,Erzene Mahallesi,06 Kasım 2025,Daire,61 m²,86 m²,2+1,0 (Yeni),2.Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,,1,1.0
4.650.000TL,Atatürk Mahallesi,01 Kasım 2025,Daire,98 m²,100 m²,3+1,21 Ve Üzeri,2.Kat,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
4.000.000TL,Kazımdirik Mahallesi,05 Kasım 2025,Daire,95 m²,110 m²,3+1,21 Ve Üzeri,4.Kat,4.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Var,1,
3.750.000TL,Barbaros Mahallesi,26 Kasım 2025,Daire,30 m²,35 m²,1 Oda,4,1.Kat,36.0,Merkezi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,,,1,
3.900.000TL,Kızılay Mahallesi,06 Kasım 2025,Daire,47 m²,58 m²,1+1,4,Kot 2 (-2).Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,1.0
6.600.000TL,Çınar Mahallesi,26 Kasım 2025,Müstakil Ev,100 m²,107 m²,2+1,21 Ve Üzeri,,3.0,Sobalı,Kiracı Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,1,
8.600.000TL,Erzene Mahallesi,08 Kasım 2025,Daire,88 m²,98 m²,2+1,3,4.Kat,5.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Eşyalı,Yok,2,
5.700.000TL,Mevlana Mahallesi,18 Kasım 2025,Daire,98 m²,110 m²,3+1,5-10,1.Kat,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1,
7.750.000TL,Kazımdirik Mahallesi,30 Ekim 2025,Daire,150 m²,170 m²,4+1,21 Ve Üzeri,2.Kat,8.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,2,
2.000.000TL,Kızılay Mahallesi,26 Kasım 2025,Daire,24 m²,45 m²,Stüdyo,2,Yüksek Giriş,2.0,Isıtma Yok,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1,
4.250.000TL,Kemalpaşa Mahallesi,08 Kasım 2025,Daire,135 m²,145 m²,3+1,21 Ve Üzeri,4.Kat,5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2,
4.395.000TL,Kemalpaşa Mahallesi,13 Kasım 2025,Daire,56 m²,62 m²,2+1,0 (Yeni),1.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
12.000.000TL,Ergene Mahallesi,24 Kasım 2025,Bina,149 m²,165 m²,2+1,21 Ve Üzeri,,3.0,Kombi Doğalgaz,Boş,Bilinmiyor,Müstakil Tapulu,Hayır,Boş,Yok,Yok,
5.950.000TL,Erzene Mahallesi,27 Kasım 2025,Daire,127 m²,135 m²,3+1,21 Ve Üzeri,5.Kat,6.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,1,
5.000.000TL,Yakaköy Mahallesi,09 Kasım 2025,Müstakil Ev,90 m²,500 m²,2+1,2,,1.0,Sobalı,Boş,Krediye Uygun Değil,Hisseli Tapu,Hayır,Eşyalı,Var,1,
10.900.000TL,Rafet Paşa Mahallesi,27 Kasım 2025,Daire,145 m²,183 m²,3+1,21 Ve Üzeri,6.Kat,16.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,2,
3.900.000TL,Kazımdirik Mahallesi,19 Kasım 2025,Daire,30 m²,45 m²,1+1,21 Ve Üzeri,3.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1,
8.250.000TL,Kazımdirik Mahallesi,10 Kasım 2025,Daire,46 m²,58 m²,1+1,21 Ve Üzeri,2.Kat,28.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Bilinmiyor,Kat Mülkiyeti,Hayır,,Yok,1,
8.750.000TL,Kazımdirik Mahallesi,18 Kasım 2025,Daire,80 m²,85 m²,2+1,21 Ve Üzeri,2.Kat,6.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Yok,1,
4.750.000TL,Tuna Mahallesi,20 Kasım 2025,Bina,360 m²,361 m²,3+1,21 Ve Üzeri,,2.0,Klimalı,Boş,Bilinmiyor,Müstakil Tapulu,Hayır,,Yok,Yok,
1.800.000TL,Merkez Mahallesi,27 Kasım 2025,Müstakil Ev,120 m²,130 m²,2+1,21 Ve Üzeri,,1.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,1,1.0
5.175.000TL,Kazımdirik Mahallesi,03 Kasım 2025,Daire,45 m²,60 m²,1+1,5-10,6.Kat,7.0,VRV,Boş,Krediye Uygun,Kat İrtifakı,Evet,Eşyalı,Yok,1,
3.700.000TL,Koşukavak Mahallesi,03 Kasım 2025,Daire,120 m²,149 m²,3+1,21 Ve Üzeri,Yüksek Giriş,3.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
5.950.000TL,Erzene Mahallesi,27 Kasım 2025,Daire,145 m²,150 m²,4+1,21 Ve Üzeri,7.Kat,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1,
4.600.000TL,Yıldırım Beyazıt Mahallesi,14 Kasım 2025,Müstakil Ev,100 m²,111 m²,3+1,16-20,,3.0,Klimalı,Kiracı Oturuyor,Bilinmiyor,Müstakil Tapulu,Hayır,,,1,
3.695.000TL,Kazımdirik Mahallesi,21 Kasım 2025,Daire,87 m²,105 m²,2+1,21 Ve Üzeri,4.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.190.000TL,Koşukavak Mahallesi,20 Kasım 2025,Daire,41 m²,58 m²,1+1,1,12.Kat,24.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Bilinmiyor,Kat İrtifakı,Hayır,,Var,1,
5.250.000TL,Kızılay Mahallesi,22 Kasım 2025,Daire,125 m²,135 m²,2+1,21 Ve Üzeri,3.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1,
10.600.000TL,İnönü Mahallesi,14 Kasım 2025,Daire,155 m²,165 m²,3+1,21 Ve Üzeri,3.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,Var,2,
4.800.000TL,Erzene Mahallesi,30 Ekim 2025,Daire,85 m²,90 m²,2+1,11-15,Yüksek Giriş,6.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Yok,2,
4.500.000 TL,Kızılay Mahallesi,27 Kasım 2025,Daire,75 m²,80 m²,2+1,0 (Yeni),Yüksek Giriş,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
6.800.000 TL,Yeşilova Mahallesi,24 Ekim 2025,Daire,80 m²,90 m²,2+1,11-15,3.Kat,9.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,2,
3.750.000 TL,Kızılay Mahallesi,27 Kasım 2025,Daire,55 m²,60 m²,1+1,0 (Yeni),1.Kat,1.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
3.650.000 TL,Atatürk Mahallesi,30 Ekim 2025,Daire,75 m²,85 m²,2+1,16-20,Düz Giriş (Zemin),5.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,1,
5.750.000 TL,Doğanlar Mahallesi,09 Ekim 2025,Daire,80 m²,95 m²,2+1,5-10,5.Kat,9.0,Merkezi (Pay Ölçer),Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
6.450.000 TL,Yeşilova Mahallesi,19 Kasım 2025,Daire,100 m²,115 m²,2+1,5-10,1.Kat,9.0,Merkezi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2,2.0
25.500.000 TL,Atatürk Mahallesi,18 Ekim 2025,Villa,120 m²,150 m²,4+1,3,,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Boş,Yok,2,
3.300.000 TL,Yeşilova Mahallesi,24 Eylül 2025,Daire,48 m²,57 m²,1+1,5-10,8.Kat,47.0,Merkezi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Evet,,,1,
7.500.000 TL,Çınar Mahallesi,16 Ekim 2025,Bina,95 m²,109 m²,6+3,21 Ve Üzeri,,2.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Müstakil Tapulu,Hayır,,Var,3,
7.750.000 TL,Kazımdirik Mahallesi,24 Ekim 2025,Daire,65 m²,70 m²,2+1,0 (Yeni),4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.500.000 TL,İnönü Mahallesi,22 Ekim 2025,Daire,130 m²,140 m²,2+1,11-15,Bodrum Kat,6.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Yok,2,
3.940.000 TL,Kızılay Mahallesi,27 Eylül 2025,Daire,85 m²,90 m²,2+1,0 (Yeni),Düz Giriş (Zemin),5.0,Isıtma Yok,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
10.750.000 TL,Atatürk Mahallesi,25 Kasım 2025,Bina,200 m²,300 m²,6+2,21 Ve Üzeri,,2.0,Kombi Doğalgaz,Boş,Bilinmiyor,Arsa Tapulu,Hayır,Boş,Var,2,2.0
4.750.000 TL,Barbaros Mahallesi,07 Ekim 2025,Daire,70 m²,75 m²,2+1,0 (Yeni),3.Kat,11.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.250.000 TL,Kızılay Mahallesi,18 Ekim 2025,Daire,75 m²,80 m²,2+1,0 (Yeni),1.Kat,2.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
6.250.000 TL,Kazımdirik Mahallesi,03 Kasım 2025,Daire,40 m²,50 m²,1+1,4,3.Kat,9.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
3.290.000 TL,Yeşilova Mahallesi,20 Kasım 2025,Daire,50 m²,62 m²,1+1,5-10,6.Kat,9.0,Isıtma Yok,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,1.0
5.000.000 TL,Ergene Mahallesi,16 Eylül 2025,Daire,128 m²,140 m²,3+1,21 Ve Üzeri,7.Kat,8.0,Merkezi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Evet,,,1,
4.260.000 TL,Rafet Paşa Mahallesi,13 Ekim 2025,Daire,100 m²,120 m²,2+1,21 Ve Üzeri,1.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
14.000.000 TL,Atatürk Mahallesi,13 Ekim 2025,Villa,110 m²,210 m²,3+1,0 (Yeni),,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,2,
2.990.000 TL,Barbaros Mahallesi,09 Ekim 2025,Daire,28 m²,40 m²,Stüdyo,4,17.Kat,30.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
4.200.000 TL,Yeşilova Mahallesi,25 Eylül 2025,Daire,69 m²,86 m²,2+1,5-10,8.Kat,45.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,,,2,
10.000.000 TL,Yeşilova Mahallesi,22 Eylül 2025,Daire,115 m²,140 m²,3+1,5-10,25.Kat,45.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,,,2,
5.500.000 TL,Kazımdirik Mahallesi,27 Kasım 2025,Daire,90 m²,105 m²,2+1,0 (Yeni),Bahçe Katı,8.0,Klimalı,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
3.350.000 TL,Doğanlar Mahallesi,04 Ekim 2025,Daire,90 m²,95 m²,2+1,16-20,3.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,
4.950.000 TL,Barbaros Mahallesi,19 Eylül 2025,Daire,51 m²,68 m²,1+1,5-10,30.Kat,30.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
4.600.000 TL,Yakaköy Mahallesi,08 Ekim 2025,Müstakil Ev,140 m²,150 m²,4+1,2,,2.0,Sobalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Müstakil Tapulu,Hayır,Boş,Yok,1,
7.350.000 TL,Mevlana Mahallesi,10 Ekim 2025,Daire,120 m²,130 m²,3+1,5-10,7.Kat,7.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Boş,Yok,2,
6.150.000 TL,Ergene Mahallesi,09 Ekim 2025,Daire,70 m²,75 m²,2+1,5-10,4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
4.500.000 TL,Kazımdirik Mahallesi,05 Ekim 2025,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,6.Kat,7.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
3.750.000 TL,Atatürk Mahallesi,22 Ekim 2025,Daire,50 m²,55 m²,1+1,0 (Yeni),2.Kat,4.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,Var,1,
3.900.000 TL,Yakaköy Mahallesi,08 Ekim 2025,Müstakil Ev,140 m²,150 m²,3+1,2,,2.0,Sobalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Hisseli Tapu,Hayır,Eşyalı,Var,2,
8.500.000 TL,Erzene Mahallesi,10 Ekim 2025,Daire,110 m²,135 m²,3+1,21 Ve Üzeri,Bahçe Katı,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Var,1,
15.500.000 TL,Çiçekli Mahallesi,21 Ekim 2025,Villa,225 m²,250 m²,5+2,5-10,,2.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Arsa Tapulu,Hayır,Boş,Yok,2,2.0
3.500.000 TL,Mevlana Mahallesi,08 Ekim 2025,Daire,65 m²,70 m²,2+1,5-10,2.Kat,3.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Eşyalı,Var,1,
3.300.000 TL,Mevlana Mahallesi,15 Kasım 2025,Daire,45 m²,50 m²,1+1,0 (Yeni),2.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,1,
1.575.000 TL,Gürpınar Mahallesi,08 Ekim 2025,Daire,90 m²,110 m²,2+1,16-20,Düz Giriş (Zemin),4.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Arsa Tapulu,Hayır,Boş,Yok,1,
2.750.000 TL,Ergene Mahallesi,13 Ekim 2025,Daire,72 m²,85 m²,2+1,21 Ve Üzeri,Bahçe Katı,5.0,Isıtma Yok,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,1.0
2.250.000 TL,Gürpınar Mahallesi,27 Kasım 2025,Daire,70 m²,100 m²,1+1,21 Ve Üzeri,2.Kat,2.0,Isıtma Yok,Boş,Bilinmiyor,Kat İrtifakı,Hayır,Boş,Yok,1,
2.950.000 TL,Erzene Mahallesi,01 Ekim 2025,Daire,60 m²,65 m²,2+1,21 Ve Üzeri,2.Kat,4.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,1,
2.990.000 TL,Zafer Mahallesi,03 Kasım 2025,Daire,70 m²,88 m²,2+1,21 Ve Üzeri,1.Kat,1.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
4.250.000 TL,Ergene Mahallesi,28 Kasım 2025,Daire,90 m²,105 m²,3+1,21 Ve Üzeri,2.Kat,4.0,Isıtma Yok,Boş,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Var,1,
19.500.000 TL,Atatürk Mahallesi,22 Eylül 2025,Villa,252 m²,270 m²,7+2,21 Ve Üzeri,,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,3,
3.600.000 TL,Yeşilova Mahallesi,22 Eylül 2025,Daire,48 m²,55 m²,1+1,5-10,25.Kat,30.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,1,
1.600.000 TL,Serintepe Mahallesi,06 Kasım 2025,Daire,68 m²,71 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),3.0,Isıtma Yok,Boş,Krediye Uygun Değil,Hisseli Tapu,Hayır,Boş,Yok,1,
10.500.000 TL,Yeşilova Mahallesi,23 Kasım 2025,Daire,150 m²,165 m²,4+1,16-20,1.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,Boş,Yok,2,
8.500.000 TL,Erzene Mahallesi,10 Ekim 2025,Daire,120 m²,135 m²,3+1,5-10,5.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
4.590.000 TL,Rafet Paşa Mahallesi,17 Eylül 2025,Daire,36 m²,60 m²,1+1,3,7.Kat,25.0,VRV,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,1,
2.550.000 TL,Yakaköy Mahallesi,19 Ekim 2025,Müstakil Ev,100 m²,345 m²,2+1,5-10,,1.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Hisseli Tapu,Hayır,Boş,Yok,1,
7.750.000 TL,Gürpınar Mahallesi,27 Ekim 2025,Daire,94 m²,104 m²,1+1,11-15,3.Kat,3.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,2.0
11.200.000 TL,Atatürk Mahallesi,19 Ekim 2025,Müstakil Ev,140 m²,165 m²,4+1,0 (Yeni),,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2,
4.750.000 TL,Atatürk Mahallesi,29 Kasım 2025,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,2.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kooperatiften Tapu,Evet,,,1,
20.500.000 TL,Yeşilova Mahallesi,10 Ekim 2025,Daire,150 m²,170 m²,3+1,0 (Yeni),12.Kat,24.0,Yerden Isıtma,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,2,
2.750.000 TL,Tuna Mahallesi,07 Kasım 2025,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,1.Kat,3.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
15.500.000 TL,Çiçekli Mahallesi,09 Ekim 2025,Müstakil Ev,225 m²,250 m²,5+2,5-10,,2.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Hisseli Tapu,Hayır,Boş,Yok,2,
3.800.000 TL,Mevlana Mahallesi,17 Ekim 2025,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,3.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
11.000.000 TL,Kazımdirik Mahallesi,12 Ekim 2025,Daire,45 m²,140 m²,1+1,5-10,20.Kat,28.0,Merkezi (Pay Ölçer),Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Evet,Eşyalı,Yok,1,
20.785.000 TL,Erzene Mahallesi,08 Ekim 2025,Daire,118 m²,152 m²,3+1,0 (Yeni),2.Kat,4.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2,
4.400.000 TL,Atatürk Mahallesi,16 Ekim 2025,Daire,100 m²,109 m²,2+1,21 Ve Üzeri,4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
5.400.000 TL,Erzene Mahallesi,09 Ekim 2025,Daire,62 m²,80 m²,2+1,11-15,4.Kat,5.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
4.000.000 TL,Evka 4 Mahallesi,20 Kasım 2025,Daire,95 m²,98 m²,3+1,21 Ve Üzeri,3.Kat,8.0,Isıtma Yok,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,,,1,
10.900.000 TL,Atatürk Mahallesi,05 Ekim 2025,Müstakil Ev,260 m²,320 m²,6+2,21 Ve Üzeri,,2.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,2,
5.990.000 TL,Yeşilova Mahallesi,18 Ekim 2025,Daire,45 m²,65 m²,1+1,3,3.Kat,9.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat İrtifakı,Evet,Boş,Yok,1,
3.850.000 TL,Evka 4 Mahallesi,14 Ekim 2025,Daire,100 m²,110 m²,3+1,21 Ve Üzeri,1.Kat,9.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat İrtifakı,Hayır,Boş,Yok,1,
4.950.000 TL,Kızılay Mahallesi,23 Ekim 2025,Daire,100 m²,120 m²,3+1,21 Ve Üzeri,4.Kat,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun,Kat İrtifakı,Hayır,,,1,
6.250.000 TL,İnönü Mahallesi,19 Ekim 2025,Daire,120 m²,180 m²,3+1,5-10,Yüksek Giriş,3.0,Kombi Doğalgaz,Boş,Bilinmiyor,Kat Mülkiyeti,Hayır,,,2,
3.150.000 TL,Kızılay Mahallesi,19 Ekim 2025,Daire,40 m²,50 m²,1+1,5-10,2.Kat,2.0,Klimalı,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Eşyalı,Var,1,
2.500.000 TL,Kızılay Mahallesi,24 Ekim 2025,Daire,65 m²,70 m²,1+1,5-10,4.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Hisseli Tapu,Hayır,Boş,Yok,1,
4.150.000 TL,İnönü Mahallesi,27 Kasım 2025,Daire,80 m²,85 m²,2+1,16-20,1.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,,1,1.0
9.500.000 TL,Erzene Mahallesi,01 Ekim 2025,Daire,85 m²,95 m²,1+1,0 (Yeni),2.Kat,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Evet,Boş,Var,2,
5.000.000 TL,Erzene Mahallesi,29 Kasım 2025,Müstakil Ev,120 m²,125 m²,3+1,16-20,,20.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kooperatiften Tapu,Evet,Boş,Yok,1,1.0
